,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
LGALS9,37.5254421343,0.438995287945339,-1.18772264053533,0.289867961194392,-4.09746091165562,4.17706674251169e-05,0.575056778441585,0.000106648772705779,0.72873106389859
PFN1,14142.4912193371,0.865701936511997,-0.20805770819763,0.0507835986954869,-4.09694691873265,4.18634847799503e-05,0.576292731480797,0.000106870113472493,0.730350355471014
FBXO25,523.640273674759,1.27184030472941,0.346917533799482,0.0846973699707889,4.09596583600092,4.20411931655131e-05,0.578697023923287,0.000107308069636509,0.733450655965541
ACTR1A,3023.1970690309,0.888238869958664,-0.170980388849629,0.0417571814135375,-4.09463433741717,4.22835191911578e-05,0.581990358147096,0.000107910806876673,0.737678275808939
POLR1C,981.705013751874,0.830272797197416,-0.268342663847576,0.0655413426441716,-4.09425033149574,4.23536521590109e-05,0.582913314664468,0.000108073982092454,0.738901815566105
LINC00847,136.744621172531,0.616717098177302,-0.697319250008676,0.170340306215211,-4.09368320101334,4.24574319853828e-05,0.584299178982838,0.000108322953848638,0.740712358416988
KRT9,113.460869424587,0.617185222287721,-0.696224576056252,0.170100548229868,-4.09301782564157,4.25794973106849e-05,0.585936462492335,0.000108618498330488,0.742841910082209
KIAA0196,1493.05733457932,0.848967876901316,-0.236218128520042,0.0577154933170449,-4.09280272841886,4.26190287707948e-05,0.586437835886136,0.000108703446774165,0.743531575935286
ORMDL1,1299.6145225647,1.19423082239966,0.256081709422907,0.0625867196620973,4.09163015421609,4.28351423094235e-05,0.589368723035357,0.000109238692110832,0.747301892730202
DKC1,6442.6668891993,1.12859587581985,0.174528982725091,0.0426592204387948,4.09123703925851,4.29078285185908e-05,0.590325904758772,0.000109408064357693,0.748569976335335
IRF6,886.464566888118,0.819131092091962,-0.287833738532066,0.0703547222373038,-4.09117866404494,4.29186319570617e-05,0.590431619833298,0.000109419619044702,0.748758453122898
RPL23P8,42.0105743526353,0.47331103906861,-1.07913952433482,0.263854589031093,-4.08990242806674,4.31554694914787e-05,0.59364663832478,0.000110007352534824,0.752890320748337
PBLD,98.8711051478366,0.584941465343237,-0.77363583238653,0.189183751023949,-4.08933551744936,4.32610711541071e-05,0.595056033724743,0.000110260430585033,0.754732647354552
DPY19L3,1149.64487655709,1.17566762954871,0.233480256623316,0.0570972517004264,4.08916803646387,4.32923156654081e-05,0.595442509662023,0.000110323946698614,0.75527773909871
ZBTB26,64.5236333969134,0.561903504389492,-0.831605696988566,0.203374463494053,-4.0890369552856,4.33167845217557e-05,0.595735737527706,0.000110370180044771,0.75570462276655
CPE,637.528982019067,0.795898469871938,-0.329343692202172,0.0805506057541749,-4.08865568568493,4.33880305193513e-05,0.596672195702118,0.000110535569573686,0.756947580440602
NUDT14,193.716308114065,0.685039448553214,-0.545741025655961,0.133502627288849,-4.08786730822298,4.35357035071667e-05,0.598635672096507,0.000110883057044678,0.759438057699003
MCM3AP,2973.19430000142,1.11412856729578,0.155915725225073,0.0381411639502654,4.08785965285122,4.35371397888369e-05,0.598635672096507,0.000110883057044678,0.759548940756048
COQ3,562.418078144523,0.789465089627729,-0.341052623779066,0.0834441109312954,-4.08719824530069,4.36614012588075e-05,0.600300605907345,0.00011118330263628,0.761716806361156
ERCC-00060,513.475843971087,1.30904246919635,0.38851190332216,0.0950801247442793,4.08615264617157,4.38585289843345e-05,0.60296705647663,0.000111668986669688,0.765155896660699
UQCRQ,616.943651045603,0.779415628854,-0.359535234147547,0.0879956483527639,-4.08582970723977,4.39195833853225e-05,0.603762512798029,0.000111808120785107,0.766221051740337
SLC38A11,28.354408334557,0.331816907379324,-1.59154069572181,0.389567659271007,-4.08540251698521,4.40004712665072e-05,0.604830478029409,0.000111997697945066,0.767632221715485
LINC01272,51.5942349298963,0.495386083259113,-1.01337475495686,0.248078722935845,-4.08489185595703,4.40973496437931e-05,0.606118070853936,0.000112227915665298,0.769322361885615
NLRP1,72.8192406397482,0.545179848378977,-0.875195858461442,0.214260062053555,-4.08473632497447,4.41268958639407e-05,0.606480056754001,0.000112286730636276,0.769837825242309
WWP2,1579.55920330326,1.16824135857869,0.22433836570108,0.0549288163526922,4.08416529969674,4.42355346400434e-05,0.607928952558117,0.000112546760584833,0.771733137330198
EPHA1,896.599917675768,0.82167727716169,-0.283356224166998,0.0693890122971176,-4.08358924254018,4.4345387765035e-05,0.609394318667111,0.000112809803871216,0.773649634948801
WEE1,1488.89406833479,0.860301423730863,-0.217085869570937,0.0531681851688735,-4.08300318849376,4.44574127776777e-05,0.610889308978069,0.000113078294695927,0.775604023319365
PPIEL,69.3527463151498,1.93888298100525,0.955225733915121,0.233986319993547,4.08239991954001,4.45730087712251e-05,0.612433140516633,0.000113353401528672,0.777604334486687
SP100,456.168663975105,1.29378040763626,0.37159277057757,0.0910243984778599,4.08234250147727,4.4584025837104e-05,0.612509620843661,0.000113353401528672,0.777717687888215
EGFLAM,104.300263092016,1.64753114942135,0.720305742132188,0.176444454918341,4.08233708713344,4.45850648452221e-05,0.612509620843661,0.000113353401528672,0.777831041289744
FLVCR1,770.268734479245,0.812958619521171,-0.29874617546646,0.0732217674730197,-4.08001863075131,4.50320913847102e-05,0.618605839351764,0.000114473242940063,0.785629866297654
