,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
SLC25A23,2244.78124490801,0.941218745198098,-0.0873980414999973,0.067768440322991,-1.28965697134905,0.197169785541768,1,0.49621490377648,11716.1300930665
CRB3,461.467161842258,1.10587970588025,0.145194462273658,0.107491722294492,1.35075017103059,0.176775474850955,1,0.465183616998508,10983.9155645688
TNFSF9,84.8296142326688,1.2559305119496,0.328756645090224,0.237081770259305,1.38668040453153,0.165539238406387,1,0.447644674696505,10570.2337036086
DENND1C,346.381127711615,0.885236294920556,-0.175865491660273,0.109596093980976,-1.60466933877042,0.108566593018709,1,0.34894580659417,8240.00627691474
SLC25A41,5.46053371128349,0.56890921671759,-0.813729641021062,0.873692133987617,-0.931368853359272,0.351662796632478,1,NA,NA
TNFSF14,21.3988978493316,1.07007379764163,0.0977102955238581,0.380956573858071,0.25648670276067,0.797575046780161,1,0.92950570806742,21951.2068017202
CD70,0.0618692453214209,0.755257048241554,-0.404960352292055,4.40735632396697,-0.0918828255591458,0.926791136951014,1,NA,NA
TRIP10,3053.16938293602,1.38305008342787,0.467853400743463,0.0530771463902569,8.81459220327159,1.20121483652279e-18,2.4484362012844e-14,8.13117268833328e-17,1.92042036553055e-12
SH2D3A,1109.73894457789,1.13773804880172,0.186168431812539,0.070850198782323,2.62763457283324,0.00859808253865909,1,0.0566355311257235,1337.67460965846
GPR108,1580.54829707528,0.966836787045437,-0.0486557278261356,0.0694504403599015,-0.7005819916187,0.483563920147752,1,0.774137064178199,18285.1174558891
MIR6791,1.21622511629086,1.47100813565478,0.556805225679319,2.18494793429925,0.254836839330863,0.798849120710342,1,NA,NA
ADGRE1,2.34658668666321,0.502314473737431,-0.993337249325409,1.31250682949887,-0.756824442357132,0.449155047175865,1,NA,NA
MBD3L2,0,NA,NA,NA,NA,NA,NA,NA,NA
FLJ25758,0.18076713370167,2.86504600110312,1.51855830304171,4.40735632396697,0.344550835334977,0.730432072496427,1,NA,NA
MBD3L3,0,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L4,0,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L5,0,NA,NA,NA,NA,NA,NA,NA,NA
ADGRE4P,0.562710606667882,0.755245235055948,-0.404982918063031,2.68999438615675,-0.150551584846108,0.880329455641825,1,NA,NA
PNPLA6,2523.45339688235,0.982975589279876,-0.0247725050378318,0.0623167985231715,-0.397525316205397,0.690980121635163,1,0.887098925105107,20961.2605013086
PEX11G,13.3281780902212,1.41610099562898,0.501924161393457,0.504929712388669,0.99404758539363,0.320199701284838,1,0.638411578726478,15085.6656053067
ZNF358,594.211638370934,0.97471830503016,-0.0369427566973745,0.0995496739346279,-0.371098721243768,0.710564003437745,1,0.894845220035755,21146.0873946649
LOC100128573,0.0861687202420589,1,0,4.40735632396467,0,1,1,NA,NA
C19orf45,9.93020958129592,1.02154767887566,0.0307565408036011,0.663814755058891,0.0463330177119557,0.963044823230276,1,0.989401459608116,23382.5246949186
MCOLN1,397.266650719478,0.948829386917225,-0.0757794015051364,0.116104249557057,-0.652684133390796,0.513959933492364,1,0.792770919150407,18736.3479032007
CLEC4G,0,NA,NA,NA,NA,NA,NA,NA,NA
RETN,0,NA,NA,NA,NA,NA,NA,NA,NA
FCER2,0.25469288570789,2.8650646396472,1.51856768845739,3.78829367758273,0.400857963426524,0.688524700655176,1,NA,NA
MIR6792,0,NA,NA,NA,NA,NA,NA,NA,NA
XAB2,1242.25049995375,0.963316672386021,-0.0539179597674428,0.061650312312341,-0.874577236434367,0.38180397813185,1,0.69504506565606,16430.1703070436
PCP2,6.18329018114357,0.470891450237527,-1.0865335663716,0.771411455459361,-1.40850068881151,0.158982863145655,1,0.437770478642546,10348.8941151098
STXBP2,1393.61064178035,1.00840691000152,0.0120779092578873,0.0575175626772376,0.209986457973942,0.833678242381494,1,0.943694445218486,22309.8803794102
TRAPPC5,485.919434747183,1.06790326414491,0.0947809666329155,0.0953101209872904,0.994448078033125,0.320004771452451,1,0.638228117836395,15088.9891618881
PET100,380.342652002534,0.991010962352664,-0.0130270786013792,0.102519959770925,-0.12706870574752,0.898886019843867,1,0.967590264215635,22876.7366168503
MCEMP1,0.0698004163897561,0.755257048241554,-0.404960352292055,4.40735632396697,-0.0918828255591458,0.926791136951014,1,NA,NA
CLEC4GP1,0,NA,NA,NA,NA,NA,NA,NA,NA
CD209,0.133240991928497,1,0,4.40735632395295,0,1,1,NA,NA
CLEC4M,0,NA,NA,NA,NA,NA,NA,NA,NA
LRRC8E,1219.08845269134,0.999635544987055,-0.000525893277846171,0.0725533557987015,-0.00724836600673933,0.994216691313578,1,0.998282517778535,23607.3849804268
TGFBR3L,3.33525493759693,0.289596829855705,-1.78788228520273,1.07464009564915,-1.66370331094219,0.0961717343038371,1,NA,NA
SNAPC2,465.140353285885,1.03082890017761,0.0438048900773907,0.0887236154400616,0.493723005539417,0.621501815636188,1,0.855439907119313,20231.1538033717
LYPLA2P2,5.00793382436062,0.924501782836426,-0.113251993119665,0.831629655004411,-0.136180801680364,0.891678351809471,1,NA,NA
TIMM44,1680.9760586639,1.032129085958,0.045623416522009,0.0564182963018133,0.808663492388065,0.418708732884831,1,0.726445011786997,17181.877418786
PRR36,567.570759574852,1.0913123717325,0.126064110503243,0.0917151780791259,1.37451742605224,0.169281104105597,1,0.453768604066217,10732.9887919782
MAP2K7,1030.09590295808,1.00078613337996,0.00113370516536991,0.0699081662223788,0.0162170634223701,0.987061222611178,1,0.99647047384573,23570.5125883469
CTXN1,116.640571682844,0.900649599860994,-0.150962164061847,0.172184034787618,-0.876748905600057,0.380623036908771,1,0.693668956470588,16408.7391653118
CCL25,0.213861267861554,0.755246557627171,-0.404980391644873,4.02835634043657,-0.100532415064598,0.919921649685544,1,NA,NA
CD320,1005.68196561784,1.05581531147789,0.0783574932968194,0.0728067847717002,1.07623889095672,0.281820430617364,1,0.600385831086071,14203.3276060032
ANGPTL4,19.9106032589967,1.0725434323321,0.101036070420789,0.395046910549691,0.25575714610754,0.798138365981026,1,0.929800496303853,21997.2201415566
RPS28,2458.06562136356,0.898059032620931,-0.155117813317074,0.0626651189267351,-2.47534539108479,0.0133107379655955,1,0.079830395849938,1888.70733541368
KANK3,55.4581111499466,0.972524336841136,-0.0401937417543917,0.278865063259533,-0.144133299756465,0.885395209850441,1,0.962255885538937,22766.9742518513
NDUFA7,715.932518995081,1.0530115007025,0.0745211931688081,0.0874562097138486,0.852097219998865,0.394160134825836,1,0.706937511655276,16726.8484632755
PRAM1,4.01892227778133,0.559750138376424,-0.837145115159277,0.989355338917619,-0.846152117676078,0.397467889544368,1,NA,NA
HNRNPM,7285.90888249041,0.955534524023024,-0.0656200953246019,0.0444604205223977,-1.47592160743384,0.139964938170128,1,0.406554276602929,9620.2938472551
ZNF414,248.017310253418,1.08251500726373,0.114387025649356,0.125576685312223,0.910893812533385,0.362351326141611,1,0.677603899388176,16034.8186751218
MIR4999,0,NA,NA,NA,NA,NA,NA,NA,NA
RAB11B,1668.03371608939,0.962985715072138,-0.0544136975947863,0.0714533515868842,-0.761527575492686,0.446342014735222,1,0.747693809803263,17694.921702804
ADAMTS10,6.52314397584314,1.11121972092079,0.152144108303574,0.784089171891755,0.194039292669352,0.846145115453282,1,0.94812919375187,22439.3736285255
MYO1F,0.293927716076107,5.63354297603813,2.49404252911087,3.55931469295296,0.700708631930971,0.483484868010347,1,NA,NA
ACTL9,0,NA,NA,NA,NA,NA,NA,NA,NA
OR2Z1,0,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L1,0,NA,NA,NA,NA,NA,NA,NA,NA
ZNF558,574.545965301296,1.09252348702685,0.127664295060367,0.0940975442272266,1.35672292097319,0.174869266685395,1,0.462163421922236,10940.3325237432
OR7G3,0,NA,NA,NA,NA,NA,NA,NA,NA
ZNF317,1298.24789339967,1.1283580472378,0.174224932107428,0.0564574016003368,3.08595378407193,0.00202900356504201,1,0.0179327143085792,424.539078541305
OR7G2,0,NA,NA,NA,NA,NA,NA,NA,NA
OR1M1,0,NA,NA,NA,NA,NA,NA,NA,NA
OR7G1,0,NA,NA,NA,NA,NA,NA,NA,NA
OR7D2,1.35315332172966,2.61907751633846,1.38905875949077,2.09789064413096,0.662121623630284,0.507893278699887,1,NA,NA
ZNF699,583.053057289282,1.49592127105312,0.581034249523652,0.104194499133537,5.57643881736013,2.45492199994443e-08,0.000492801042268846,6.85557970668893e-07,0.0162333271874687
OR7E24,6.16418357018104,1.15457562973912,0.207362679024438,0.902935862593779,0.229653829928481,0.818360774355761,1,0.937748962124931,22205.8954231184
OR7D4,5.52488276153096,0.325686222424895,-1.61844540450479,2.19421927129075,-0.737595109878302,0.460760527916415,1,NA,NA
ZNF266,434.99224994919,1.07783505874523,0.108136419150825,0.115094541820978,0.939544286287914,0.34745136571447,1,0.66428649108159,15731.6326817942
ZNF177,0,NA,NA,NA,NA,NA,NA,NA,NA
ZNF559,97.4293078472085,0.634404417480396,-0.656525278046493,0.233482046030659,-2.81188763422213,0.00492517055533681,1,0.0365014279956319,864.499820648545
ZNF559-ZNF177,0.0574529364909801,1,0,4.40735632396563,0,1,1,NA,NA
ZNF560,0,NA,NA,NA,NA,NA,NA,NA,NA
ZNF426,255.4155447291,1.26826300211441,0.342853950920324,0.131645329572363,2.60437610687786,0.00920416912281293,1,0.0600088949156676,1421.43069386742
ZNF562,692.512732682879,1.11742386219453,0.160176533979967,0.0900466646432127,1.77881695690369,0.0752697762211576,1,0.275208459479961,6519.13798816133
ZNF561,786.821733848486,1.12414712475808,0.168830863199909,0.0797285431546975,2.11757115481624,0.0342114032411217,1,0.160450607346372,3800.9144374282
ZNF561-AS1,93.2216668750929,1.14943764454924,0.20092820390764,0.183525482174813,1.09482455257222,0.273593507708579,1,0.59056796983561,13990.5552054056
FBXL12,1463.11303802537,1.04592634002761,0.064781252522894,0.0551787303660596,1.17402579024799,0.240384695629473,1,0.552279888926154,13084.0628485495
ZNF846,233.227484346757,1.11455757896975,0.156471149346319,0.141197750298997,1.10817027194115,0.267788286955491,1,0.583698196629945,13828.9776745567
UBL5,3629.64312126109,0.9811479250737,-0.0274574307346398,0.0507297690053421,-0.541248881534397,0.588336049340217,1,0.836914346723424,19829.0116169181
OLFM2,745.644907988178,0.864808873455301,-0.2095467688265,0.0842020874535635,-2.48861726785648,0.0128240936947537,1,0.0775197992931019,1836.75412445076
PIN1,2951.62769504361,1.02120948380204,0.0302788409879532,0.0427867711725349,0.707668285271066,0.479151276687866,1,0.771468996613094,18279.9578747473
MIR5589,0,NA,NA,NA,NA,NA,NA,NA,NA
RDH8,0.410753477053662,0.742738451857045,-0.42907382576318,2.99493076158442,-0.143266692928883,0.886079559629696,1,NA,NA
C3P1,0.592503262003913,5.56819139662867,2.47720880210282,2.74057959158003,0.903899602008871,0.366048640230295,1,NA,NA
EIF3G,8757.51560378116,0.998021501378652,-0.00285719756309935,0.0439276346976858,-0.0650432827253926,0.948139538563777,1,0.984022255459996,23320.3434321465
PPAN,163.543223689688,0.923133198726476,-0.115389265783664,0.164311941192301,-0.702257334107075,0.482518695923288,1,0.7738589846068,18340.4579351812
DNMT1,21669.9284749469,1.02123259943903,0.0303114968121992,0.0359585747845277,0.842956012406856,0.399253045365355,1,0.711553989732068,16864.5411106397
PPAN-P2RY11,0,NA,NA,NA,NA,NA,NA,NA,NA
SNORD105,0.840421081171377,1.68567568568952,0.753326996746257,2.15203047606447,0.350054055983401,0.726298130060615,1,NA,NA
SNORD105B,0.3404842644435,2.86508401099421,1.51857744281036,3.19303071173334,0.475591242273396,0.634365615823885,1,NA,NA
P2RY11,189.011850279417,0.774370720202299,-0.368903691109483,0.148258628123843,-2.48824433206904,0.0128375503124564,1,0.077569221118746,1838.77838661987
MRPL4,7657.18093296098,1.01544286013729,0.022109060199422,0.0433396618967726,0.510134579547063,0.609957180786155,1,0.847845572478138,20099.0271411667
ICAM1,2447.54662851007,1.18652301546348,0.246740085338417,0.0619330652860883,3.98397986921279,6.77706161060823e-05,1,0.000966487941730334,22.912529634601
ICAM5,31.7959609015419,0.968451038272005,-0.0462489821741924,0.315323538828855,-0.146671518231611,0.883391300592908,1,0.961689308761981,22799.7301321291
RAVER1,9074.23323829046,0.944088372382985,-0.0830061839958235,0.0486578472304606,-1.70591566870349,0.0880237820244587,1,0.303089857983421,7185.95744292892
ICAM3,475.871349108172,0.821203192980277,-0.284188857981695,0.112974829795442,-2.51550596266674,0.0118861666673067,1,0.0731977618760082,1735.51893408015
FDX1L,1398.43718960635,0.934599080579577,-0.0975804769484384,0.0640789729822756,-1.52281586934031,0.12780477855904,1,0.386284921299205,9159.20176892545
ICAM4,5.18704074022044,1.50479839018071,0.589570210592863,0.75951961768111,0.776240925011101,0.437606746276347,1,NA,NA
MIR4322,0.55019785073587,1,0,3.02030795541327,0,1,1,NA,NA
ZGLP1,68.0633429476955,0.764175484316554,-0.388024119869588,0.23059538072116,-1.68270551932172,0.0924321127497454,1,0.313509896740902,7434.57369131376
PDE4A,85.2726604084207,1.23785851194148,0.307846422964385,0.194701240253659,1.58112204402663,0.113850135312639,1,0.359387876477831,8522.88349067176
MIR1181,0,NA,NA,NA,NA,NA,NA,NA,NA
CDC37,11762.4921644643,0.994154139524667,-0.00845854180434678,0.0453508383416329,-0.186513460691237,0.852042123959683,1,0.950026321454667,22531.7742659403
ATG4D,1671.49431255072,0.962453412598085,-0.0552113859227091,0.0674444787359682,-0.818619803391923,0.413003364761853,1,0.721785416417235,17119.306506584
AP1M2,8686.10887092131,0.994961932805898,-0.0072867656157434,0.0349640194516509,-0.20840754953302,0.834910762072087,1,0.944256558675461,22396.8213152233
MIR1238,0,NA,NA,NA,NA,NA,NA,NA,NA
KRI1,4468.6855422682,1.0225469267293,0.0321670528552029,0.0466261827764631,0.68989247971294,0.490261805420765,1,0.779101176718328,18481.0590129355
S1PR5,155.200777795461,0.675731747401225,-0.565477457109087,0.172854901907066,-3.27139960088093,0.00107016579193423,1,0.010458859160161,248.105056997339
KEAP1,4550.53580139823,0.728758861878778,-0.456486572957307,0.0438850388329175,-10.4018723714767,2.43108558611033e-25,4.97132691503701e-21,2.3649149784354e-23,5.61028780334231e-19
CDKN2D,904.769300767275,0.999343468606606,-0.000947485646517699,0.0721476763370546,-0.0131325871410092,0.9895220126584,1,0.996982822835968,23652.4204889605
MIR638,0,NA,NA,NA,NA,NA,NA,NA,NA
ILF3,22812.7032905772,0.965468837244393,-0.0506984013028766,0.0353995496148638,-1.4321764501091,0.152093329642035,1,0.425218675125972,10088.7382860388
