ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
8814	12,5,12	1,0,0	18,7,15	0,0,0	281	99
8815	4,1,3	2,0,0	1,1,1	2,1,1	217	99
8816	0,2,2	3,4,4	1,0,2	4,4,0	203	99
8817	239,147,197	0,0,1	290,289,279	3,0,0	196	99
8818	139,78,102	0,0,1	163,179,189	0,0,0	196	99
8819	702,363,612	2,1,0	834,688,815	0,1,1	294	99
8820	478,237,422	0,0,0	574,455,553	2,1,1	294	99
8821	264,195,246	0,0,0	374,306,362	2,1,1	234	99
8822	403,306,365	3,0,1	593,460,534	9,1,4	234	99
8823	269,135,210	0,1,0	301,279,346	0,0,1	228	99
8824	266,164,241	3,0,0	336,309,312	0,0,0	281	99
8825	137,90,138	9,3,2	239,192,194	5,4,5	144	99
8826	86,54,53	0,0,0	103,102,93	1,0,0	161	99
8827	0,0,1	6,3,1	4,0,0	0,0,0	163	99
8828	1,0,1	146,89,116	1,1,0	191,187,210	163	99
8829	202,149,180	0,0,3	259,194,229	0,0,1	1129	99
8830	38,16,26	0,2,0	41,25,24	1,0,3	1129	99
8831	326,229,285	0,0,3	432,375,438	0,0,1	201	99
8832	162,96,131	0,2,0	214,206,233	1,0,3	201	99
8833	202,113,204	0,2,0	247,212,293	1,0,3	231	99
8834	232,184,215	1,0,0	294,256,298	0,0,0	231	99
8835	367,246,355	1,0,0	468,382,498	3,1,1	231	99
8836	232,184,215	0,0,0	291,259,297	1,0,0	231	99
8837	8,10,10	135,62,140	5,7,5	177,126,203	220	99
8839	8,14,9	0,0,0	33,29,29	0,3,2	125	99
8840	77,47,76	0,0,1	61,53,61	0,0,0	1030	99
8841	355,180,349	0,0,0	404,378,390	1,3,6	119	99
8842	2,1,0	464,283,482	0,0,0	656,525,625	198	99
8843	0,1,0	22,7,13	0,0,0	24,20,34	198	99
8844	0,0,1	464,283,482	0,0,1	656,525,625	132	99
8845	507,295,516	22,7,13	624,598,633	24,20,34	201	99
8846	969,577,997	22,7,13	1280,1123,1255	24,20,34	180	99
8848	576,346,496	0,0,3	724,609,745	0,0,0	241	99
8849	268,132,215	0,0,0	295,255,286	5,0,0	241	99
8850	231,119,196	0,2,0	249,228,264	2,0,0	241	99
8851	1,1,0	362,237,322	0,0,0	496,407,508	177	99
8852	1,1,0	54,23,41	0,0,0	67,53,49	177	99
8853	27,16,34	0,0,0	21,16,22	5,0,0	202	99
8854	24,18,36	0,2,0	26,19,21	2,0,0	202	99
