,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
ABHD6,161.340443508108,0.988069272149709,-0.0173159042074727,0.152345866992138,-0.113661791746318,0.909505901943986,1,0.971666859059799,17353.970102808
HEXB,1469.52839760066,1.00427359025119,0.00615235049333651,0.0541338238206787,0.113650765069109,0.909514643317326,1,0.971666859059799,17354.9417696671
ZDHHC12,699.577268769178,0.993224584914213,-0.00980812244344821,0.0863085254237129,-0.113640250430619,0.909522978783337,1,0.971666859059799,17355.9134365261
RNF146,696.995014882875,1.0073162314855,0.0105166664389296,0.0925740197106945,0.113602784796377,0.909552679697204,1,0.971666859059799,17356.8851033852
MAGEC3,0.303070101852207,0.755245908895202,-0.404981630873026,3.56682170519644,-0.113541316147935,0.909601409295106,1,NA,NA
PLS3,5022.86260992248,1.00414782090855,0.00597166450169649,0.0526468573291999,0.113428698399902,0.909690688495896,1,0.971727135591429,17359.9052773409
DHX58,28.0292253377782,0.969379319232409,-0.0448667905541906,0.395886237380765,-0.113332534242754,0.909766924798878,1,0.971727135591429,17360.8770044765
GRID2IP,26.1682747401469,1.02943824052688,0.0418572804235461,0.369591992247433,0.113252671328235,0.909830238555927,1,0.971727135591429,17361.8487316121
HMGCLL1,27.9490669931921,0.974756887693596,-0.0368856510543601,0.32587948162291,-0.113188013159547,0.909881498707299,1,0.971727135591429,17362.8204587477
SLC1A5,10801.7064051679,0.995685444429088,-0.00623805484084581,0.0551482006189316,-0.113114385797465,0.909939869974818,1,0.971727135591429,17363.7921858832
CD163,0.304782113745345,0.755245834012931,-0.404981773915557,3.58292768718485,-0.113030964974277,0.910006006018526,1,NA,NA
LYSMD2,205.459502337186,0.989724574796335,-0.0149009937953009,0.132099179020899,-0.112801562475596,0.91018787957496,1,0.971895276918405,17368.7404938088
SLBP,1716.18362193888,1.00466768694927,0.0067183813332606,0.0595902162145135,0.11274302662497,0.910234288382076,1,0.971895276918405,17369.7123890857
TNIP1,2237.68572745628,1.00444868115071,0.0064038564149699,0.0568514043385566,0.11264200927798,0.910314378389866,1,0.971895276918405,17370.6842843627
GAST,0.315968682156499,0.75524262267692,-0.404987908326604,3.59630743684398,-0.112612148832863,0.910338052946617,1,NA,NA
FUNDC2,1710.09845930756,1.00416436287547,0.00599543074067273,0.0532539153300303,0.11258197080003,0.910361979380512,1,0.971895276918405,17372.6280749165
FIGLA,0.304400903649149,0.755247362337215,-0.40497885446399,3.59719380531701,-0.112581883652027,0.91036204847529,1,NA,NA
SLC35F4,0.304400903649149,0.755247362337215,-0.40497885446399,3.59719380531701,-0.112581883652027,0.91036204847529,1,NA,NA
ZNF879,169.65244613543,1.01265845492696,0.0181476702206981,0.161614708420471,0.112289719160236,0.910593693170327,1,0.972009137247779,17377.5793557158
PPM1B,1525.41823539261,0.995094000421354,-0.00709528024995127,0.0631924343302491,-0.112280533661209,0.910600976081877,1,0.972009137247779,17378.551364853
ZRSR2,386.547156823074,0.991707218872297,-0.0120138374066774,0.107088269659645,-0.112186306164631,0.910675686721357,1,0.972018250417818,17379.6863174706
THAP2,97.0808903106769,1.0164156567856,0.0234905038342548,0.209737511342178,0.111999535438041,0.910823774920746,1,0.972105676800903,17382.221606877
C20orf141,0.303454011889889,0.755243605223986,-0.404986031426633,3.61751141912107,-0.111951555781137,0.910861817897673,1,NA,NA
PRR26,0.309120634583947,0.755242691288007,-0.404987777262935,3.61782922036349,-0.111942204176859,0.910869232790371,1,NA,NA
SLX4,480.299968985499,0.991107547492423,-0.0128864786306192,0.115271456703408,-0.111792450613129,0.910987973538755,1,0.97220776709988,17386.9637068143
DNAJC28,0.223864591159647,0.755245720468451,-0.404981990811916,3.62387770012616,-0.111753768842093,0.911018644934626,1,NA,NA
NBPF11,319.42827192082,0.991134592416121,-0.0128471115154548,0.115002120938081,-0.111711952881043,0.9110518016291,1,0.97220776709988,17388.9081223484
FAM228A,0.516645232135574,1.21864833100657,0.285281863193782,2.55531331625017,0.111642615948334,0.911106780582304,1,NA,NA
ZNF474,1.5200834531888,0.886775928510781,-0.17335848603697,1.55310774754196,-0.111620385843376,0.911124407467435,1,NA,NA
ERCC-00109,0.296469732580814,0.755247308294653,-0.404978957697636,3.62990538963246,-0.11156735898801,0.911166454152128,1,NA,NA
TMEM86A,36.9755832516404,0.975126385312908,-0.0363388774123044,0.325775594139479,-0.111545732909464,0.9111836022309,1,0.972238154686235,17393.3405873367
C1orf234,0.772079402595352,0.848421469227859,-0.237146966290619,2.12667089961166,-0.111510890723113,0.911211229913677,1,NA,NA
PDZD11,388.08017112146,0.992250190922153,-0.0112241600684852,0.100656902475073,-0.111509094681955,0.911212654065314,1,0.972238154686235,17395.2850636461
LOC643770,4.77254857236136,0.933609922654886,-0.0991082004135207,0.890563041249391,-0.111287124911988,0.911388664816099,1,NA,NA
FBXO4,111.333860685302,1.01453357368459,0.0208166086005323,0.18718007051461,0.111211671965406,0.911448496160092,1,0.972419157473532,17400.4684038314
LGI2,2.64930502744985,0.915991670438862,-0.126593615638488,1.13839342425983,-0.111203748142517,0.911454779482254,1,NA,NA
TMIE,3.45495437799342,1.08034297796971,0.111489399484396,1.00480632810443,0.110956108024042,0.911651152465515,1,NA,NA
CABP4,0.915400191222087,1.14574019618035,0.196279940975154,1.76918620820944,0.110943630503318,0.911661046998629,1,NA,NA
CHAC2,247.482097154383,0.990588668711705,-0.01364197672841,0.123003147135099,-0.110907542173913,0.911689664713648,1,0.972562416528742,17406.9221310314
RNASE4,51.0389520793205,0.980290483263891,-0.0287187776323058,0.259018598695414,-0.110875349403295,0.911715193382857,1,0.972562416528742,17407.894693448
TRIM39,0.649867680126348,0.83045573346841,-0.268024825926259,2.42001918523746,-0.110753182272793,0.91181207199517,1,NA,NA
ERCC-00168,0.291299481959898,0.755244911492186,-0.404983536145625,3.65803573223801,-0.110710656152572,0.911845795543232,1,NA,NA
SBNO2,34.2987840456184,1.08852566201858,0.122375419497212,1.10572424755662,0.110674446877358,0.911874509908635,1,0.972661729434895,17412.5902803435
